Name,Brand,Price,Discounted Price,Category,SuubCategory,Quantity,Description,BreadCrumbs
Tata Tea Premium,Tata Tea,550,389,Dairy & Beverages,Beverages,1 kg,"
Tata Tea Premium is beyond being just a cup of tea. It is India's No.1 branded tea, in terms of volume as well as value.
",Dairy & Beverages > Beverages
Taj Mahal Tea,Taj Mahal,220,204,Dairy & Beverages,Beverages,250 gm,"
Plucked from the best estates of Assam, only Taj contains the precious essence of the FINEST fresh tea leaves that helps in retaining both its strong taste and great flavour, the perfect taste of a priceless cup of tea. Crafted by their master blenders after hundreds of trials, it brings you an experience that is 'hazaaron mein ek'.
",Dairy & Beverages > Beverages
Taj Mahal Tea,Taj Mahal,410,335,Dairy & Beverages,Beverages,500 gm,"
Plucked from the best estates of Assam, only Taj contains the precious essence of the FINEST fresh tea leaves that helps in retaining both its strong taste and great flavour, the perfect taste of a priceless cup of tea. Crafted by their master blenders after hundreds of trials, it brings you an experience that is 'hazaaron mein ek'.
",Dairy & Beverages > Beverages
Tata Tea Gold,Tata Tea,145,132,Dairy & Beverages,Beverages,250 gm,"
Tata Tea Gold, the mass premium offering from Tata Tea’s diverse portfolio, was launched in 2003 as a superior variant on the ‘aroma’ platform.
Its uniqueness lies in the superior balance it maintains between strength and aroma, which is produced by mixing CTC granules with gently-rolled 15% longer leaves.
",Dairy & Beverages > Beverages
Tata Tea Gold,Tata Tea,315,249,Dairy & Beverages,Beverages,500 gm,"
Tata Tea Gold, the mass premium offering from Tata Tea’s diverse portfolio, was launched in 2003 as a superior variant on the ‘aroma’ platform.
Its uniqueness lies in the superior balance it maintains between strength and aroma, which is produced by mixing CTC granules with gently-rolled 15% longer leaves.
",Dairy & Beverages > Beverages
Tata Tea Gold,Tata Tea,620,448,Dairy & Beverages,Beverages,1 kg,"
Tata Tea Gold, the mass premium offering from Tata Tea’s diverse portfolio, was launched in 2003 as a superior variant on the ‘aroma’ platform.
Its uniqueness lies in the superior balance it maintains between strength and aroma, which is produced by mixing CTC granules with gently-rolled 15% longer leaves.
",Dairy & Beverages > Beverages
Society Masala Tea,Society,67,58,Dairy & Beverages,Beverages,100 gm,"Overview Start your mornings with Society Masala Tea. Even during work hours or at night, a cup of this tea is just the kick your brain needs. Indulge in truly rich flavours of this tea in every sip you have. So go ahead, buy this product online today!  Key Features Tasty & flavourful",Dairy & Beverages > Beverages
Society Masala Tea,Society,640,570,Dairy & Beverages,Beverages,1 kg,"Overview Fortified with spices that are proven to have excellent antioxidant properties and great, robust flavour, Society Masala Tea is meant to be. Brew yourself a cup or two of this elixir, and feel your troubles, stresses and qualms, just melt away. Piquant and beautifully balanced, this tea is a 10 on the Richter scale in terms of taste.",Dairy & Beverages > Beverages
Wagh Bakri Navchetan Tea,Wagh Bakri,240,190,Dairy & Beverages,Beverages,1 kg,"OverviewWagh Bakhri Tea is made from specially selected tea from the finest tea gardens across the country. It is made with the perfect blend of tea that helps you brew it quicker and faster. Wagh Bakri tea is your perfect companion to start the day feeling refreshed and energized.Key Features- Sourced from the best tea gardens- Perfect cup of tea- Helps you feel refreshed and energized.How to Use- Add Wagh Bakri Tea to a pot of boiling water.- Add sugar or milk if needed- Strain into a cup and enjoy.About the BrandAn integral part of the daily life of millions of tea lovers. Wagh Bakri Tea is renowned for its premium quality which promises you consistency in taste, aroma and strength. Wagh Bakri Tea Group, believes tea is a social catalyst that spreads peace and harmony and brings people together to build relationships.",Dairy & Beverages > Beverages
Nutralite Fat Spread,Nutralite,240,160,Dairy & Beverages,Dairy,500 gm,India,Dairy & Beverages > Dairy
Tetley Lemon & Honey Green Tea Bags,Tetley,165,148,Dairy & Beverages,Beverages,25 Bags,"Overview- Regardless of how your day is going, you will need a dose of freshness to relax and rejuvenate. Naturally rich in antioxidants, Tetley Green Tea gives you just that. - The antioxidants help to reduce the harmful effects that stress and pollution may have on your body.- Try a cup everyday to know how it refreshes you like a 5 minute vacation on a busy day!- Free your mind, that's Tetley!Key Features- Immune with added Vitamin C - Vitamin C helps support immune systemIngredientsGreen tea (98.5%), natural lemon flavour (0.9%), vitamin c (0.6%), Natural Honey flavour (0.02%). Each tea bag contains 1.4 gms of tea.Storage InstructionsStore in a cool dry and hygienic place.",Dairy & Beverages > Beverages
Tetley Lemon & Honey Green Tea Bags,Tetley,600,299,Dairy & Beverages,Beverages,100 Bags,"
*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
",Dairy & Beverages > Beverages
Brooke Bond Taaza Tea,,230,200,Dairy & Beverages,Beverages,1 kg,"Key Features- Taaza has high-quality fresh green leaves packed with the natural goodness of Theanine.- Taazagi Bhari Chai, Dimag Khul Jaye- Processed in the unique Brooke Bond Tea Excellence Centre.- Taaza has the goodness of tea plants that helps clear your mind to give you a refreshing perspective.- The different components present in a cup of Taaza Tea help keep you alert, hydrated, and energized- Gives you the Morning Freshness to deal with the daily hustles of life.StoragePlease store the tea in a dry and tight container in a cool dry place after opening the packShelf LifeBest Before 12 MonthsAbout The BrandBrooke Bond Taaza tea is one of India’s largest selling packaged tea brands. Brooke Bond Taaza Tea is a blend CTC tea with best quality leaves; processed in the unique Brooke Bond Tea Excellence Center. Since 1869, Brooke Bond has brought you the perfect tasting tea experience with the best-chosen tea leaves. Every cup of Brooke Bond Taaza tea is brewed with the best-chosen tea leaves; that ensure your tea has strength, rich colour, and refreshing taste. Brooke Bond Taaza Tea has high quality fresh green leaves packed with the natural goodness of Theanine. Different components from a cup of tea help keep you alert, hydrated, and energized. They believe our tea &nbsp;has the very refreshing taste and very good colour and aroma. Brooke Bond Taaza Tea has plant goodness that helps clears your mind to give you a refreshing perspective ""Taazagi bhari chai dimag khul jaaye"". By giving you that refreshment it helps you to be ready to face the day to day demanding situations. Different components from a cup of tea help keep you alert, hydrated, energized and gives you refreshment which helps clears your mind to give you a refreshing perspective and helps you to be ready to face the day to day demanding situations.",Dairy & Beverages > Beverages
Mother Dairy Pasteurized Butter,Mother Dairy,255,216,Dairy & Beverages,Dairy,500 gm,"OverviewMother Dairy Butter is creamier, tastier and spreads easily. It has the right amount of salt, which is liked by all.IngredientsMilk solids and iodised saltCare InstructionsShelf life: 12 months Keep under refrigerationAbout the BrandMother Dairy was commissioned in 1974 and is a wholly owned subsidiary fo the National Dairy Development Board (NDDB).",Dairy & Beverages > Dairy
Delicious Fat Spread,Delicious,114,91,Dairy & Beverages,Dairy,500 gm,OverviewSpread it over parathas or bread to add more taste to your breakfast. It is fortified with Vitamin A and D.Key Features- Vegetable fat spread- Fortified with Vitamin A & D- Free from Argemone oil,Dairy & Beverages > Dairy
Tata Tea Gold Care,Tata Tea,320,249,Dairy & Beverages,Beverages,500 gm,"Overview  At the heart of Tata Tea, Gold Care is their commitment to offering you an exquisite tea blend that combines the rich taste of the fine valley-grown teas with the goodness of five natural ingredients. The tea has ingredients like tulsi which is known to improve the body's immunity, ginger is known to be good for the common cold and cough, Brahmi is known to help improve memory, cardamom is known to help with digestion and mulethi is known to be good for sore throat. With a taste so irresistible, this tea will leave you longing for more. Tata Tea Gold Care- Enjoy goodness in every cup!  Ingredients Tea, Tulsi, Ginger, Brahmi, Cardamom, Mulethi.   Benefits- For discerning tea-drinking consumers: Enjoy an exquisite tea blend with rich taste and natural ingredients of Tata Tea Gold Care.- Tulsi is known to improve the body's immunity.- Brahmi is known to help improve memory.- Cardamom is known to help with digestion.- Tea with the goodness of mulethi and ginger are known to be good for sore throat and common cold and cough respectively.- Savour Every Moment: Perfect cup of tea to delight your loved ones at any time of the day.  Storage Once open transfer the content in an airtight and keep the lid tightly closed after each use.",Dairy & Beverages > Beverages
Lipton Green Tea Bags - Honey Lemon,Lipton,165,140,Dairy & Beverages,Beverages,25 Bags,"
Enjoy the goodness of green tea along with the delicious combination of honey and lemon flavours.
",Dairy & Beverages > Beverages
Lipton Green Tea Bags - Honey Lemon,Lipton,600,499,Dairy & Beverages,Beverages,100 Bags,"
Enjoy the goodness of green tea along with the delicious combination of honey and lemon flavours.
",Dairy & Beverages > Beverages
Society Masala Flavour Tea Pouch,Society,330,300,Dairy & Beverages,Beverages,500 gm,India,Dairy & Beverages > Beverages
Amul Garlic & Herbs Buttery Spread,Amul,53,50,Dairy & Beverages,Dairy,100 gm,"OverviewEnjoy Amul Butter with garlic flakes and oregano leaves.IngredientsPasteurised Table Butter, Garlic Herbs Masala (2.5%) (Garlic Powder, Garlic flakes. Oregano leaves, Ghee) and Salt. Contains permitted natural colour [Annatto]How to UseUse as spread or topping.Storage ConditionStore in Cool & Dry place (Refrigerated) at 4&deg;C or below.",Dairy & Beverages > Dairy
Tata Tea Teaveda,Tata Tea,140,120,Dairy & Beverages,Beverages,250 gm,"
Everyday Tea with Goodness of Ayurveda. Tata Tea Teaveda is a range of delicious Assam tea with Ayurvedic ingredients. Ayurvedic ingredients help balance the 3 bodily elements - Vata, Kapha & Pitta. It has Tulsi and Brahmi extracts.
",Dairy & Beverages > Beverages
Girnar Detox Desi Kahwa Green Tea,Girnar,100,90,Dairy & Beverages,Beverages,10 Bags,"OverviewThere are age-old ways of having tea that not only tastes good but is also beneficial for us. One simply has to reach for the spice jar and believe in its beneficial properties. To make it simple, Girnar brings you tea leaves mixed with the right herbs and spices. So, enjoy this tea with a touch of herbs and spices that is sure to tingle your senses. This desi kahwa is packed with the goodness of black pepper, tulsi, ginger, clove and cardamom. Ingredients- Green Tea, Black Pepper, Ginger, Tulsi, Asafoetida, Clove, Cardamom, Cinnamon, Nutmeg, Rock Salt, Citric Acid. How to Use- Insert the tea bag into an empty cup. - Add 100-120ml of hot water (90 degrees). -Infuse the tea bag for 2-3 minutes. -Remove the teabag. If desired, add honey/sugar to taste.",Dairy & Beverages > Beverages
Girnar Detox Desi Kahwa Green Tea,Girnar,490,420,Dairy & Beverages,Beverages,50 Bags,"OverviewThere are age-old ways of having tea that not only tastes good but is also beneficial for us. One simply has to reach for the spice jar and believe in its beneficial properties. To make it simple, Girnar brings you tea leaves mixed with the right herbs and spices. So, enjoy this tea with a touch of herbs and spices that is sure to tingle your senses. This desi kahwa is packed with the goodness of black pepper, tulsi, ginger, clove and cardamom.Ingredients- Green Tea, Black Pepper, Ginger, Tulsi, Asafoetida, Clove, Cardamom, Cinnamon, Nutmeg, Rock Salt, Citric Acid.How to Use- Insert the tea bag into an empty cup. - Add 100-120ml of hot water (90 degrees). - Infuse the tea bag for 2-3 minutes. - Remove the teabag. If desired, add honey/sugar to taste.",Dairy & Beverages > Beverages
Amul Butter School Pack,Amul,61,57,Dairy & Beverages,Dairy,100 gm, OverviewAmul is synonymous with Butter in India. Several Generation form Indian consumers have grown up with the taste of Amul Butter for the Six decades. Utterly Butterly Delicious taste of Amul Butter is must on breakfast table of almost every Indian household Storage ConditionStore in Cool & Dry place (Refrigerated) at 4&deg;C or below.,Dairy & Beverages > Dairy
Brooke Bond Taj Mahal Tea Bags,Brooke Bond,210,185,Dairy & Beverages,Beverages,100 Bags,"
*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
",Dairy & Beverages > Beverages
Nutralite Fat Spread UKE,Nutralite,230,160,Dairy & Beverages,Dairy,500 gm,India,Dairy & Beverages > Dairy
Girnar Jumbo Gulabi CTC Leaf Tea,Girnar,400,299,Dairy & Beverages,Beverages,1 kg,"OverviewGirnar Jumbo Special Gulabi CTC Leaf Tea is your best bet to start your mornings peacefully. Even during work hours or at night, a cup of this tea is just the kick your brain needs. It is made from the finest quality tea leaves and has a strong aroma to make a perfect cup of tea. So go ahead, buy this product online today.",Dairy & Beverages > Beverages
Lipton Green Tea Bags - Pure & Light,Lipton,165,140,Dairy & Beverages,Beverages,25 Bags,"Overview- It&rsquo;s not just a cup of tea, it's therapy - One Sip at a Time. Lipton Green Tea is not just a regular cup of chai, it&rsquo;s therapy for your body. Wake up to a morning cup of hot Lipton green tea and feel how it leaves you feeling light and active. Awaken your senses - one sip at a time.- Magic of Green TeaGreen tea is produced when freshly plucked leaves are heated, rolled/cut and then dried. The catechins in the fresh leaves are preserved during the green tea process, making green tea rich in catechins. Also, green tea is typically drunk without milk and sugar and hence gives zero calories as compared to the ordinary chai made with milk and sugar.- Next Best to WaterBrewed, Unsweetened Lipton Green Tea being 99.5% water is a great way to meet your daily required fluid intake. Staying hydrated is essential to ensure bodily functions are carried out efficiently.Features &amp; Benefits- Zero calories: green tea, when had without milk or sugar, not only tastes great but contains virtually zero calories- Next best to water: brewed, unsweetened green tea being 99% water is a great way to meet your daily required fluid intake- Glowing skin: give your skin a hydrated healthy glow with green tea- Heart health : consumption of green tea as a part of a healthy lifestyle may help maintain a healthy heart as it is thought to have a protective effect against cardiovascular diseases- Simply delicious flavour and great taste- Soothing aroma of a warm cup of green tea may help you relaxStorage Direction- Keep in cool and dry placeUsage Directions- Place a Lipton green tea bag in a cup- Pour freshly bioled water into the cup- Dip the tea bag a few times and allow it to infuse for 2 mins- Remove the tea bag and dispose it in wet bin- Best enjoyed as a light brew without milk and sugarKey IngredientsGreen Tea, Tulsi Flavor, TeaShelf Life15 Months",Dairy & Beverages > Beverages
Lipton Green Tea Bags - Pure & Light,Lipton,600,500,Dairy & Beverages,Beverages,100 Bags,"Overview- It&rsquo;s not just a cup of tea, it's therapy - One Sip at a Time. Lipton Green Tea is not just a regular cup of chai, it&rsquo;s therapy for your body. Wake up to a morning cup of hot Lipton green tea and feel how it leaves you feeling light and active. Awaken your senses - one sip at a time.- Magic of Green TeaGreen tea is produced when freshly plucked leaves are heated, rolled/cut and then dried. The catechins in the fresh leaves are preserved during the green tea process, making green tea rich in catechins. Also, green tea is typically drunk without milk and sugar and hence gives zero calories as compared to the ordinary chai made with milk and sugar.- Next Best to WaterBrewed, Unsweetened Lipton Green Tea being 99.5% water is a great way to meet your daily required fluid intake. Staying hydrated is essential to ensure bodily functions are carried out efficiently.Features &amp; Benefits- Zero calories: green tea, when had without milk or sugar, not only tastes great but contains virtually zero calories- Next best to water: brewed, unsweetened green tea being 99% water is a great way to meet your daily required fluid intake- Glowing skin: give your skin a hydrated healthy glow with green tea- Heart health : consumption of green tea as a part of a healthy lifestyle may help maintain a healthy heart as it is thought to have a protective effect against cardiovascular diseases- Simply delicious flavour and great taste- Soothing aroma of a warm cup of green tea may help you relaxStorage Direction- Keep in cool and dry placeUsage Directions- Place a Lipton green tea bag in a cup- Pour freshly bioled water into the cup- Dip the tea bag a few times and allow it to infuse for 2 mins- Remove the tea bag and dispose it in wet bin- Best enjoyed as a light brew without milk and sugarKey IngredientsGreen Tea, Tulsi Flavor, TeaShelf Life15 Months",Dairy & Beverages > Beverages
Goodricke Super Cup Tea,Goodricke,405,202,Dairy & Beverages,Beverages,1 kg,"OverviewThis selection of line teas from the master blenders at Tea City is prepared with expedite and a passion ki delight the senses. Young tea buds and tenders leaves are delicately hand plucked, then tested for quality and freshness using the most advanced technology and processes, to make every blend. a very special one. This pack of SUPER CUP is a blend from the sprawling tea gardens of Assam. giving you a full-bodied brew that energizes your day. It's strength and stimulating flavour create a strong combination of intense taste. enriching colour and refreshing aroma So get ready for Super Cup.IngredientsTeaStorage InstructionsStore in a cool dry place and odour free conditions.",Dairy & Beverages > Beverages
Girnar Masala Instant Premix Chai,Girnar,150,125,Dairy & Beverages,Beverages,140 gm,Key Features- Instant Masala Tea.- Contains 10 Single- Serve Sachets.- Combination of Natural tea extract & mixture of aromatic Indian spices.,Dairy & Beverages > Beverages
Lipton Pure & Light Green Tea,Lipton,350,315,Dairy & Beverages,Beverages,250 gm,"
*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
",Dairy & Beverages > Beverages
Amul Lite Milk Fat Bread Spread,Amul,205,191,Dairy & Beverages,Dairy,500 gm,"OverviewAmul Lite is a milk fat spread for customers seeking creamy and tasty indulgence without having to worry about calories. It contains no vegetable oil. This is the perfect spread for your favorite bread.IngredientsMilk Fat, Milk Solids, Common Salt, Stabilisers (E471, E472e), Emulsifier (E322), Permitted Class II Preservative (E302), Acidity Regulator (E330) & Starch.How to UseAmul Lite can be used to bake, cook, saute vegetables or spread it on roti, paranthas and bread.Storage ConditionStore in Cool & Dry place (Refrigerated) at 4&deg;C or below.",Dairy & Beverages > Dairy
Girnar Cardamom Instant Premix Chai,Girnar,150,125,Dairy & Beverages,Beverages,140 gm,"OverviewGirnar brings you an exotic, delicately blended, and rich in fragrance tea with the goodness of fresh cardamoms, which is known to be, The Queen of Spices. The spice along with the tea of the finest quality gives it a special twist of flavour, which is a must-try for every tea lover. Ingredients- Dairy Whitener, Sugar, Tea Extract & Cardamom. How to Use- Empty the contents of the sachet into a cup. Add 100ml of hot water (at 100 degrees) into the cup. - Stir well and enjoy.",Dairy & Beverages > Beverages
Tetley Ginger Mint Lemon Green Tea,Tetley,165,145,Dairy & Beverages,Beverages,25 Bags,"
Regardless of how your day is going, you will need a dose of freshness to relax and rejuvenate. Naturally rich in antioxidants, Tetley Green Tea gives you just that. The antioxidants help to reduce the harmful effects that stress and pollution may have on your body.
Try a cup everyday to know how it refreshes you like a 5 minute vacation on a busy day!
Free your mind that’s Tetley!
Comes in Ginger Mint Lemon flavour

*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
",Dairy & Beverages > Beverages
Tea Country Honey & Lemon Green Tea,Tea Country,130,69,Dairy & Beverages,Beverages,25 Bags,"OverviewGreen Tea is naturally rich in Anti-Oxidants known to offer multiple benefits. Green tea is made from finest tea leaves, which undergo minimal oxidation during processing, making it rich with antioxidants. These antioxidants are known to prevent damages caused by free radicals to our healthy cells and tissues and give Green Tea its immunity boosting effects.IngredientsFlavoured tea, tulsi, added natural flavours.Storage InstructionsStore in a cool & dry place",Dairy & Beverages > Beverages
President Premium Butter Salted,President,305,274,Dairy & Beverages,Dairy,500 gm,"Overview:Velvety in texture with a subtle nuttiness. Président Salted Butter Bar is optimal for baking, cooking or simply to add a touch of decadence to any slice of bread.IngredientsButter and SaltStorage ConditionsStore in Cool & Dry place (Refrigerated) at 4&deg;C or below.About the BrandPrésident is a French dairy brand owned by the Laval-based Lactalis company. The brand was created in 1933 by André Besnier. It is used for butter and for a range of industrially produced versions of traditional cheeses.",Dairy & Beverages > Dairy
Amul White Butter Unsalted,Amul,53,50,Dairy & Beverages,Dairy,100 gm," Key FeaturesWhite Butter Unsalted (made from cultured cream)Manufactured from cultured cream.It's manufacturing is a culmination of the traditional recipe adopted in a state-of-the art plant.Does not contain salt, as a result, good for the people who avoid butter for salt present in It.Slow manufacturing process helps in development of the typical flavour, reminiscent of the home touch.How to UseApply on hot Paratha/ Roti.Spread it on toast / bread and top it with sugar / salt/ spices to taste.Scoop on your favourite dal / curry/ soup.Just heat it to prepare high aroma ghee.Care InstructionsKeep it frozenAny Other Must-Know InformationMilk fat: 82% minimumMoisture.: 16% maximumMilk solids-not-fat: 1.5% maximumAbout the BrandAmul, is an Indian dairy cooperative society, based at Anand in the Indian state of Gujarat. Formed in 1946, it is a cooperative brand managed by a cooperative body, the Gujarat Co-operative Milk Marketing Federation Ltd. (GCMMF), which today is jointly owned by 36 lakh (3.6 million) milk producers in Gujarat and the apex body of 13 District Milk Unions, spread across 13,000 villages of Gujarat. Amul spurred India's White Revolution, which made the country the world's largest producer of milk and milk products. Storage ConditionStore in Cool Dry place (Refrigerated) at C or below.",Dairy & Beverages > Dairy
